ORIGINAL_ROW_ID,SOURCE,trans_id,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,lat,long,city_pop,job,dob,merch_lat,merch_long,is_fraud,customer_id,RAW_TEXT,SYN_RAW_TEXT,CLEAN_TEXT,CATEGORY,AMOUNT,IS_CREDIT,IS_DEBIT
1,original,295780.0,12/26/2023 0:55,580000000000.0,fraud_Bedi-Krish Pvt Ltd,,8552.65,Baiju,Sharma,F,"043, Lall Nagar, Dhule-732630",,Rajasthan,-3.6610785,145.222241,691077.0,"Surveyor, hydrographic",2/23/1993,-3.676868,145.213831,0.0,,fraud_Bedi-Krish Pvt Ltd 8552.65,fraud_Bedi-Krish Pvt Ltd 8552.65,fraud bedi krish pvt ltd,Other,8552.65,False,True
1,aug_v1,295780.0,12/26/2023 0:55,580000000000.0,fraud_Bedi-Krish Pvt Ltd,,8552.65,Baiju,Sharma,F,"043, Lall Nagar, Dhule-732630",,Rajasthan,-3.6610785,145.222241,691077.0,"Surveyor, hydrographic",2/23/1993,-3.676868,145.213831,0.0,,fraud_Bedi-Krish Pvt Ltd 8552.65,NEFT/fraud_Bedi-Krish Pvt Ltd 8552.65,neft fraud bedi krish pvt ltd,Transfer,8552.65,False,True
1,aug_v2,295780.0,12/26/2023 0:55,580000000000.0,fraud_Bedi-Krish Pvt Ltd,,8552.65,Baiju,Sharma,F,"043, Lall Nagar, Dhule-732630",,Rajasthan,-3.6610785,145.222241,691077.0,"Surveyor, hydrographic",2/23/1993,-3.676868,145.213831,0.0,,fraud_Bedi-Krish Pvt Ltd 8552.65,fraud_Bedi-Krish*Pvt*Ltd*8552.65*MKT,fraud bedi krish pvt ltd mkt,Shopping,8552.65,False,True
1,aug_v3,295780.0,12/26/2023 0:55,580000000000.0,fraud_Bedi-Krish Pvt Ltd,,8552.65,Baiju,Sharma,F,"043, Lall Nagar, Dhule-732630",,Rajasthan,-3.6610785,145.222241,691077.0,"Surveyor, hydrographic",2/23/1993,-3.676868,145.213831,0.0,,fraud_Bedi-Krish Pvt Ltd 8552.65,fraud_Bedi-Krish Pvt Ltd 8552.65,fraud bedi krish pvt ltd,Other,8552.65,False,True
2,original,825718.0,07-07-2023 07:02,4130000000000000.0,,entertainment,9139.49,Bhavin,Roy,M,,Rourkela,Meghalaya,,-8.62593,,Comptroller,10/20/1994,-14.437954,-8.607795,,6.24e+18,9139.49,9139.49,,Other,9139.49,False,True
2,aug_v1,825718.0,07-07-2023 07:02,4130000000000000.0,,entertainment,9139.49,Bhavin,Roy,M,,Rourkela,Meghalaya,,-8.62593,,Comptroller,10/20/1994,-14.437954,-8.607795,,6.24e+18,9139.49,9139.49,,Other,9139.49,False,True
2,aug_v2,825718.0,07-07-2023 07:02,4130000000000000.0,,entertainment,9139.49,Bhavin,Roy,M,,Rourkela,Meghalaya,,-8.62593,,Comptroller,10/20/1994,-14.437954,-8.607795,,6.24e+18,9139.49,9139.49 MKT#532,mkt,Shopping,9139.49,False,True
2,aug_v3,825718.0,07-07-2023 07:02,4130000000000000.0,,entertainment,9139.49,Bhavin,Roy,M,,Rourkela,Meghalaya,,-8.62593,,Comptroller,10/20/1994,-14.437954,-8.607795,,6.24e+18,9139.49,9139.49 MKT,mkt,Shopping,9139.49,False,True
3,original,165012.0,4/25/2023 11:53,6560000000000000.0,fraud_Hans-Kanda Pvt Ltd,entertainment,7568.37,Yuvraj ,Madan,M,"04/41, Bawa Nagar, Khammam 816522",Jalna,Mizoram,76.1969725,102.564244,380244.0,Probation officer,10/18/1963,76.214025,102.567219,0.0,-2.61e+18,fraud_Hans-Kanda Pvt Ltd 7568.37,fraud_Hans-Kanda Pvt Ltd 7568.37,fraud hans kanda pvt ltd,Other,7568.37,False,True
3,aug_v1,165012.0,4/25/2023 11:53,6560000000000000.0,fraud_Hans-Kanda Pvt Ltd,entertainment,7568.37,Yuvraj ,Madan,M,"04/41, Bawa Nagar, Khammam 816522",Jalna,Mizoram,76.1969725,102.564244,380244.0,Probation officer,10/18/1963,76.214025,102.567219,0.0,-2.61e+18,fraud_Hans-Kanda Pvt Ltd 7568.37,UPI/fraud_Hans-Kanda Pvt Ltd 7568.37,upi fraud hans kanda pvt ltd,Transfer,7568.37,False,True
